alert_key,cust_id,risk_rank,occupation_code,total_asset,AGE,date
352249,82595ac69158ae08d34156784bdec0d9e2ca5b242b6d2a8542c040b98feb8bd1,1,19.0,1465816.0,7,365
352253,b212d14cb35676926682b2cf849e295d948888f556c07e854c4cdad9f32f5084,1,2.0,98177.0,2,365
352254,e5b0002791c7852644a2730abeaa893cdf14a072ef78120275815edbd596cec0,1,19.0,2052922.0,7,365
352280,74214c478dc6519fbefe4bc31693865bdcd698ab974b6435bb8fa842a3ed4fd8,3,15.0,201906.0,5,365
352282,0340e7611f0d82c3cb87e6194fa14bb2ccf8afbf1b341860b7e09990369f6466,1,12.0,7450.0,5,365
352291,83440058abcf5206ec03fd81ee3c0c943a33d1ab455a4631d1c52c80b2b3ad1d,1,17.0,182242.0,5,365
352298,fe0b3b09a3b8c5435d55a286ecd4fb416e96d3231abdf27c975bf8606a0b559c,3,12.0,2422.0,4,365
352301,2bd91e5810e781477888dc1d478fe7eaed138acc84bd5e693ad0c5f5be4c6e4b,1,19.0,2536600.0,4,365
352302,9df84862272aa8b1d36b2c9574aedf16b03c1737e136b923095c373bcce2328d,1,17.0,173255.0,4,365
352305,870252ba9d2d6cb4433ce4718b80b2e69cf73adcc7e92657e8383e2f281cc13c,3,12.0,876408.0,3,365
352307,35efdb7f15d0e61d8eabda0871c91edd5602b7620852e286646589bf05fe08de,1,12.0,552065.0,3,365
352309,8a8a3d19fbce6501b156018ffcf902470d07070bc55f69a3bd0c4c76be6b670a,1,9.0,4826766.0,3,365
352312,a6fc8326d711987f071572d976c0bc8b591eecf1c4e759242d05f5a130b5fd75,1,19.0,30480.0,4,365
352316,7dc5256ef411c745dc3064da2f231c104ca270f564d3d0d057943f0cdd62ab70,1,9.0,332834.0,2,365
352320,3513b38b20fd02573807e4a414ed7341e3bd0844fc525d5294adae63e5c61af2,3,19.0,567379.0,3,365
352329,b85d0a2e03dd24bee012fee7df3e88476b6ed3aadfde1a73618551723813d18a,1,17.0,20632.0,2,365
352330,96d70b798f211393cfbcb83a8acd19f3e8c9c5c205960a3a00bfe685ed6e7ab2,1,19.0,143930.0,4,365
352331,4d518f1d8149b57c5d56855d1bac3c0462f4f090a7b4b6fb7951afdf5816c921,1,5.0,729497.0,2,365
352332,8cc21d9d4e328562fb96d10b2d698714c95a48662b379d8aad7ba5290d71a5a0,1,12.0,296610.0,3,365
352337,ff483c74ef2977bfcf04be0a79363af72d1812aac9ce1fcdf671b4433218f6ad,2,17.0,41066.0,3,365
