tx_type,cross_bank,ATM,tx_amt_total,num_of_tx_date,CR,DB,cust_id
1,1,1,2838159.0,103,126212517.0,48545396.0,0015cc01f553512007705edf855baa16f1b57a16fb107e0882c5cb0535d297a5
2,0,0,251105.0,42,1088959.0,291089.0,002d6bc6382e759c9a5b6bb2c8dda9add2f38cd87e10ca3efda9a312e97b342c
1,1,1,16151828.0,32,189564.0,800047.0,002f13f534d0bd9fcc1848db3ff5c7b1179d117f8de8055b7394696b948ec9b4
2,1,1,32590947.0,395,993072131.0,199761521.0,0031e83ddef78e57d17ac5dce088627b7745be8ff6cffcbc0a79aff9fedd93f0
1,1,1,67605395.0,61,684491.0,873094.0,0032adaf4a8731b4d6a3fdcba32f9ebdcd336490eda155b9bc5d18de6b65f381
1,1,1,3302633.0,63,206935.0,1022377.0,003a2130684d603dd236580830ac21c3ed0c623a37fdfd15a42a8c1ddbf9e429
1,0,1,1471444.0,3,34463.0,5085.0,003be669534ad0a29cce9f22f56f625a545f918b04954702ae012c05dd5af2ad
1,1,1,67610262.0,134,2060375.0,1080659.0,004fe2a935a6f8e2b171261efa6d53e2cc521709b61ae40ac55d027e7f5763f5
1,1,1,1175954.0,28,9818920.0,2635112.0,004fe7806e38eba608b71c1a1fa75d7a0b472074a06a3cc249176b32fe93272e
1,1,1,53784815.0,145,93575.0,1082853.0,0068c614b131d745d71672044f1cc660ca30dd71e483389907fcce15c99675cd
2,0,0,5953.0,10,165308.0,92398.0,0070c50fe8d5c78fe7d3600b0a668dfa098d73d52514c582f86ff9c4aedc23c9
2,1,1,1443017.0,349,72401965.0,5158557.0,007909665905a277aabbb05c74e1cfa2b7629973357ce9a40d93b2cc3ab43080
2,1,1,9945722.0,188,15971829.0,14067833.0,00971fcf22900a519c60631453efd4913c5a71135d73a33bcebef64a206c85be
1,0,1,316504.0,7,1513868.0,691529.0,00b092f41a5ef7b479a5540d3d7a3dad174c1f438c4924b5370ea6d15f78f976
2,1,1,297304.0,283,42551980.0,137389922.0,00b342a67f967d662c851893d49d3da0716041fac5fa90409f5a93ee5e604a93
